full_text,removed_handles,removed_hashtags,removed_urls,removed_punctuation,lowercase,removed_emoji,tokenized,corrected_slang,removed_stopwords,stemmed,removed_numeric,cleaned,predicted_label
"@KangayamLombok @prabowo @Gerindra Iya sekali, bagi AyahBowoGibran VisinyaJelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan.  #AkuRelawanPrabowoGibran #RakyatSehatNegaraHebat CaciMaki DisenyuminAja @prabo","   Iya sekali, bagi AyahBowoGibran VisinyaJelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan.  #AkuRelawanPrabowoGibran #RakyatSehatNegaraHebat CaciMaki DisenyuminAja ","   Iya sekali, bagi AyahBowoGibran VisinyaJelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan.    CaciMaki DisenyuminAja ","   Iya sekali, bagi AyahBowoGibran VisinyaJelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan.    CaciMaki DisenyuminAja ",   Iya sekali bagi AyahBowoGibran VisinyaJelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan    CaciMaki DisenyuminAja ,   iya sekali bagi ayahbowogibran visinyajelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan    cacimaki disenyuminaja ,   iya sekali bagi ayahbowogibran visinyajelas produtivitas bangsa beri efek kepada peningkatan manusia yg menjadi aset penting bagi kemajuan    cacimaki disenyuminaja ,"['iya', 'sekali', 'bagi', 'ayahbowogibran', 'visinyajelas', 'produtivitas', 'bangsa', 'beri', 'efek', 'kepada', 'peningkatan', 'manusia', 'yg', 'menjadi', 'aset', 'penting', 'bagi', 'kemajuan', 'cacimaki', 'disenyuminaja']","['iya', 'sekali', 'bagi', 'ayahbowogibran', 'visinyajelas', 'produtivitas', 'bangsa', 'beri', 'efek', 'kepada', 'peningkatan', 'manusia', 'yang', 'menjadi', 'aset', 'penting', 'bagi', 'kemajuan', 'cacimaki', 'disenyuminaja']","['ayahbowogibran', 'visinyajelas', 'produtivitas', 'bangsa', 'efek', 'peningkatan', 'manusia', 'aset', 'kemajuan', 'cacimaki', 'disenyuminaja']","['ayahbowogibran', 'visinyajelas', 'produtivitas', 'bangsa', 'efek', 'tingkat', 'manusia', 'aset', 'maju', 'cacimaki', 'disenyuminaja']","['ayahbowogibran', 'visinyajelas', 'produtivitas', 'bangsa', 'efek', 'tingkat', 'manusia', 'aset', 'maju', 'cacimaki', 'disenyuminaja']",ayahbowogibran visinyajelas produtivitas bangsa efek tingkat manusia aset maju cacimaki disenyuminaja,0
"@gibran_gen @gibran_tweet @prabowo Rakyat akan dukung penuh mas gibran, semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran.","   Rakyat akan dukung penuh mas gibran, semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran.","   Rakyat akan dukung penuh mas gibran, semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran.","   Rakyat akan dukung penuh mas gibran, semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran.",   Rakyat akan dukung penuh mas gibran semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran,   rakyat akan dukung penuh mas gibran semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran,   rakyat akan dukung penuh mas gibran semoga semakin mudah dalam memenangkan pasangan prabowo gibran satu putaran,"['rakyat', 'akan', 'dukung', 'penuh', 'mas', 'gibran', 'semoga', 'semakin', 'mudah', 'dalam', 'memenangkan', 'pasangan', 'prabowo', 'gibran', 'satu', 'putaran']","['rakyat', 'akan', 'dukung', 'penuh', 'mas', 'gibran', 'semoga', 'semakin', 'mudah', 'dalam', 'memenangkan', 'pasangan', 'prabowo', 'gibran', 'satu', 'putaran']","['rakyat', 'dukung', 'penuh', 'mas', 'gibran', 'semoga', 'mudah', 'memenangkan', 'pasangan', 'prabowo', 'gibran', 'putaran']","['rakyat', 'dukung', 'penuh', 'mas', 'gibran', 'moga', 'mudah', 'menang', 'pasang', 'prabowo', 'gibran', 'putar']","['rakyat', 'dukung', 'penuh', 'mas', 'gibran', 'moga', 'mudah', 'menang', 'pasang', 'prabowo', 'gibran', 'putar']",rakyat dukung penuh mas gibran moga mudah menang pasang prabowo gibran putar,0
Lucu liat akun2 yg dulu bongkar boroknya Prabowo skrg ada di garda depan pembelanya...  What money can't buy?,Lucu liat akun2 yg dulu bongkar boroknya Prabowo skrg ada di garda depan pembelanya...  What money can't buy?,Lucu liat akun2 yg dulu bongkar boroknya Prabowo skrg ada di garda depan pembelanya...  What money can't buy?,Lucu liat akun2 yg dulu bongkar boroknya Prabowo skrg ada di garda depan pembelanya...  What money can't buy?,Lucu liat akun2 yg dulu bongkar boroknya Prabowo skrg ada di garda depan pembelanya  What money cant buy,lucu liat akun2 yg dulu bongkar boroknya prabowo skrg ada di garda depan pembelanya  what money cant buy,lucu liat akun2 yg dulu bongkar boroknya prabowo skrg ada di garda depan pembelanya  what money cant buy,"['lucu', 'liat', 'akun2', 'yg', 'dulu', 'bongkar', 'boroknya', 'prabowo', 'skrg', 'ada', 'di', 'garda', 'depan', 'pembelanya', 'what', 'money', 'cant', 'buy']","['lucu', 'lihat', 'akun2', 'yang', 'dulu', 'bongkar', 'boroknya', 'prabowo', 'sekarang', 'ada', 'di', 'garda', 'depan', 'pembelanya', 'what', 'money', 'cant', 'buy']","['lucu', 'lihat', 'akun2', 'bongkar', 'boroknya', 'prabowo', 'garda', 'pembelanya', 'what', 'money', 'cant', 'buy']","['lucu', 'lihat', 'akun2', 'bongkar', 'borok', 'prabowo', 'garda', 'bela', 'what', 'money', 'cant', 'buy']","['lucu', 'lihat', 'bongkar', 'borok', 'prabowo', 'garda', 'bela', 'what', 'money', 'cant', 'buy']",lucu lihat bongkar borok prabowo garda bela what money cant buy,0
"Lagi ada berita baik, Prabowo Subianto sumbang 8 helikopter ke TNI AU. dekade08","Lagi ada berita baik, Prabowo Subianto sumbang 8 helikopter ke TNI AU. dekade08","Lagi ada berita baik, Prabowo Subianto sumbang 8 helikopter ke TNI AU. dekade08","Lagi ada berita baik, Prabowo Subianto sumbang 8 helikopter ke TNI AU. dekade08",Lagi ada berita baik Prabowo Subianto sumbang 8 helikopter ke TNI AU dekade08,lagi ada berita baik prabowo subianto sumbang 8 helikopter ke tni au dekade08,lagi ada berita baik prabowo subianto sumbang 8 helikopter ke tni au dekade08,"['lagi', 'ada', 'berita', 'baik', 'prabowo', 'subianto', 'sumbang', '8', 'helikopter', 'ke', 'tni', 'au', 'dekade08']","['lagi', 'ada', 'berita', 'baik', 'prabowo', 'subianto', 'sumbang', '8', 'helikopter', 'ke', 'tni', 'ah\ttidak mau tahu', 'dekade08']","['berita', 'prabowo', 'subianto', 'sumbang', '8', 'helikopter', 'tni', 'ah\ttidak mau tahu', 'dekade08']","['berita', 'prabowo', 'subianto', 'sumbang', '8', 'helikopter', 'tni', 'ah tidak mau tahu', 'dekade08']","['berita', 'prabowo', 'subianto', 'sumbang', 'helikopter', 'tni', 'ah tidak mau tahu']",berita prabowo subianto sumbang helikopter tni ah tidak mau tahu,0
@xquitavee Bilang ke Prabowo dong, Bilang ke Prabowo dong, Bilang ke Prabowo dong, Bilang ke Prabowo dong, Bilang ke Prabowo dong, bilang ke prabowo dong, bilang ke prabowo dong,"['bilang', 'ke', 'prabowo', 'dong']","['bilang', 'ke', 'prabowo', 'dong']","['bilang', 'prabowo']","['bilang', 'prabowo']","['bilang', 'prabowo']",bilang prabowo,0
Kepala Divisi Humas Polri Irjen Pol. Sandi Nugroho menyebutkan kedatangan Kapolri Jenderal Pol. Listyo Sigit Prabowo beserta jajaran ke Gedung Merah Putih Komisi Pemberantasan Korupsi atau KPK pada Senin (4/12/2023) #Kapolri #Kadivhumaspolri #KPK #PolriKPKBersatu #PolridukungKPK https://t.co/0Bqzkn7hta,Kepala Divisi Humas Polri Irjen Pol. Sandi Nugroho menyebutkan kedatangan Kapolri Jenderal Pol. Listyo Sigit Prabowo beserta jajaran ke Gedung Merah Putih Komisi Pemberantasan Korupsi atau KPK pada Senin (4/12/2023) #Kapolri #Kadivhumaspolri #KPK #PolriKPKBersatu #PolridukungKPK https://t.co/0Bqzkn7hta,Kepala Divisi Humas Polri Irjen Pol. Sandi Nugroho menyebutkan kedatangan Kapolri Jenderal Pol. Listyo Sigit Prabowo beserta jajaran ke Gedung Merah Putih Komisi Pemberantasan Korupsi atau KPK pada Senin (4/12/2023)      https://t.co/0Bqzkn7hta,Kepala Divisi Humas Polri Irjen Pol. Sandi Nugroho menyebutkan kedatangan Kapolri Jenderal Pol. Listyo Sigit Prabowo beserta jajaran ke Gedung Merah Putih Komisi Pemberantasan Korupsi atau KPK pada Senin (4/12/2023)      ,Kepala Divisi Humas Polri Irjen Pol Sandi Nugroho menyebutkan kedatangan Kapolri Jenderal Pol Listyo Sigit Prabowo beserta jajaran ke Gedung Merah Putih Komisi Pemberantasan Korupsi atau KPK pada Senin 4122023      ,kepala divisi humas polri irjen pol sandi nugroho menyebutkan kedatangan kapolri jenderal pol listyo sigit prabowo beserta jajaran ke gedung merah putih komisi pemberantasan korupsi atau kpk pada senin 4122023      ,kepala divisi humas polri irjen pol sandi nugroho menyebutkan kedatangan kapolri jenderal pol listyo sigit prabowo beserta jajaran ke gedung merah putih komisi pemberantasan korupsi atau kpk pada senin 4122023      ,"['kepala', 'divisi', 'humas', 'polri', 'irjen', 'pol', 'sandi', 'nugroho', 'menyebutkan', 'kedatangan', 'kapolri', 'jenderal', 'pol', 'listyo', 'sigit', 'prabowo', 'beserta', 'jajaran', 'ke', 'gedung', 'merah', 'putih', 'komisi', 'pemberantasan', 'korupsi', 'atau', 'kpk', 'pada', 'senin', '4122023']","['kepala', 'divisi', 'hubungan masyarakat', 'polri', 'irjen', 'pol', 'sandi', 'nugroho', 'menyebutkan', 'kedatangan', 'kapolri', 'jenderal', 'pol', 'listyo', 'sigit', 'prabowo', 'beserta', 'jajaran', 'ke', 'gedung', 'merah', 'putih', 'komisi', 'pemberantasan', 'korupsi', 'atau', 'kpk', 'pada', 'senin', '4122023']","['kepala', 'divisi', 'hubungan masyarakat', 'polri', 'irjen', 'pol', 'sandi', 'nugroho', 'kedatangan', 'kapolri', 'jenderal', 'pol', 'listyo', 'sigit', 'prabowo', 'beserta', 'jajaran', 'gedung', 'merah', 'putih', 'komisi', 'pemberantasan', 'korupsi', 'kpk', 'senin', '4122023']","['kepala', 'divisi', 'hubung masyarakat', 'polri', 'irjen', 'pol', 'sandi', 'nugroho', 'datang', 'kapolri', 'jenderal', 'pol', 'listyo', 'sigit', 'prabowo', 'serta', 'jajar', 'gedung', 'merah', 'putih', 'komisi', 'berantas', 'korupsi', 'kpk', 'senin', '4122023']","['kepala', 'divisi', 'hubung masyarakat', 'polri', 'irjen', 'pol', 'sandi', 'nugroho', 'datang', 'kapolri', 'jenderal', 'pol', 'listyo', 'sigit', 'prabowo', 'serta', 'jajar', 'gedung', 'merah', 'putih', 'komisi', 'berantas', 'korupsi', 'kpk', 'senin']",kepala divisi hubung masyarakat polri irjen pol sandi nugroho datang kapolri jenderal pol listyo sigit prabowo serta jajar gedung merah putih komisi berantas korupsi kpk senin,0
@Evelyn__Hilton @gibran_gen @gibran_tweet @prabowo Pemimpin Muda idaman emang gini,    Pemimpin Muda idaman emang gini,    Pemimpin Muda idaman emang gini,    Pemimpin Muda idaman emang gini,    Pemimpin Muda idaman emang gini,    pemimpin muda idaman emang gini,    pemimpin muda idaman emang gini,"['pemimpin', 'muda', 'idaman', 'emang', 'gini']","['pemimpin', 'muda', 'idaman', 'memang', 'begini']","['pemimpin', 'muda', 'idaman']","['pimpin', 'muda', 'idam']","['pimpin', 'muda', 'idam']",pimpin muda idam,0
@ZulkifliLubis69 Bagusnya.... ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£, Bagusnya.... ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£, Bagusnya.... ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£, Bagusnya.... ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£, Bagusnya ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£, bagusnya ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£, bagusnya ditelanjangi lagi dongð¤­ð¤£ð¤£ð¤£ð¤£,"['bagusnya', 'ditelanjangi', 'lagi', 'dongð\x9f¤\xadð\x9f¤£ð\x9f¤£ð\x9f¤£ð\x9f¤£']","['bagusnya', 'ditelanjangi', 'lagi', 'dongð\x9f¤\xadð\x9f¤£ð\x9f¤£ð\x9f¤£ð\x9f¤£']","['bagusnya', 'ditelanjangi', 'dongð\x9f¤\xadð\x9f¤£ð\x9f¤£ð\x9f¤£ð\x9f¤£']","['bagus', 'telanjang', 'dong']","['bagus', 'telanjang', 'dong']",bagus telanjang dong,0
"@gibran_gen @gibran_tweet @prabowo semangkin banyak deklarasi dukungan untuk mase, semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy","   semangkin banyak deklarasi dukungan untuk mase, semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy","   semangkin banyak deklarasi dukungan untuk mase, semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy","   semangkin banyak deklarasi dukungan untuk mase, semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy",   semangkin banyak deklarasi dukungan untuk mase semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy,   semangkin banyak deklarasi dukungan untuk mase semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy,   semangkin banyak deklarasi dukungan untuk mase semangkin optimis untuk kemenangan satu putaran untuk paslon gemoy,"['semangkin', 'banyak', 'deklarasi', 'dukungan', 'untuk', 'mase', 'semangkin', 'optimis', 'untuk', 'kemenangan', 'satu', 'putaran', 'untuk', 'paslon', 'gemoy']","['semangkin', 'banyak', 'deklarasi', 'dukungan', 'untuk', 'mase', 'semangkin', 'optimis', 'untuk', 'kemenangan', 'satu', 'putaran', 'untuk', 'paslon', 'lucu']","['semangkin', 'deklarasi', 'dukungan', 'mase', 'semangkin', 'optimis', 'kemenangan', 'putaran', 'paslon', 'lucu']","['semangkin', 'deklarasi', 'dukung', 'mase', 'semangkin', 'optimis', 'menang', 'putar', 'paslon', 'lucu']","['semangkin', 'deklarasi', 'dukung', 'mase', 'semangkin', 'optimis', 'menang', 'putar', 'paslon', 'lucu']",semangkin deklarasi dukung mase semangkin optimis menang putar paslon lucu,1
@Metro_TV @prabowo wkwk apaan nihh,  wkwk apaan nihh,  wkwk apaan nihh,  wkwk apaan nihh,  wkwk apaan nihh,  wkwk apaan nihh,  wkwk apaan nihh,"['wkwk', 'apaan', 'nihh']","['tertawa', 'apa', 'nihh']",['tertawa'],['tertawa'],['tertawa'],tertawa,0
